Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1901-0004-JPN,1901,0004,,Natural,Geophysical,Earthquake,Tsunami,,,Japan,JPN,Eastern Asia,Asia,Sanriku,Earthquake,Tsunami/Tidal wave,,,,,,8,Richter,40.5,142.5,03:33,,1901,8,10,1901,8,10,18,,,24,24,,,,,,,2.849084409,,,,
1905-0007-JPN,1905,0007,,Natural,Geophysical,Earthquake,Tsunami,,,Japan,JPN,Eastern Asia,Asia,Fukushima,Earthquake,Tsunami/Tidal wave,,,,,,7,Richter,37.4,142.6,01:21,,1907,7,7,1907,7,7,41,,,,,,,,,,,3.077011162,,,,
1914-0025-JPN,1914,0025,,Natural,Geophysical,Earthquake,Ground movement,,,Japan,JPN,Eastern Asia,Asia,Akita Senboku,,,,,,,,7,Richter,39.2,139.8,05:00,,1914,3,16,1914,3,16,94,,,1920,1920,,,,,,,3.430297628,,,,
1923-0006-JPN,1923,0006,,Natural,Geophysical,Earthquake,Ground movement,,,Japan,JPN,Eastern Asia,Asia,"Kanto plaine (Yokohama,Tokyo)",,Fire,Tsunami/Tidal wave,,,,,8,Richter,35.413,139.298,11:58,,1923,9,1,1923,9,1,143000,103733,100000,,203733,,,,,600000,10282909,5.834924869,,,,
1927-0004-JPN,1927,0004,,Natural,Geophysical,Earthquake,Ground movement,,,Japan,JPN,Eastern Asia,Asia,"Tango, Honshu",,,,,,,,7,Richter,35.632,135.013,18:27,,1927,3,7,1927,3,7,3022,3295,29463,46782,79540,,,,,40000,672395,5.948888246,,,,
1930-0012-JPN,1930,0012,,Natural,Geophysical,Earthquake,Ground movement,,,Japan,JPN,Eastern Asia,Asia,Idu (Honshu),,,,,,,,7,Richter,35.05,139.129,04:02,,1930,11,26,1930,11,26,259,1825,,24297,26122,,,,,,,5.720961493,,,,
1933-0001-JPN,1933,0001,,Natural,Geophysical,Earthquake,Tsunami,,,Japan,JPN,Eastern Asia,Asia,Sanriku,Earthquake,,,,,,,8,Richter,39.224,144.622,02:1,,1933,3,3,1933,3,3,3000,,,,,,,,,,,4.43317534,,,,
1943-0027-JPN,1943,0027,,Natural,Geophysical,Earthquake,Ground movement,,,Japan,JPN,Eastern Asia,Asia,Tottori (Honshu Isl.),,,,,,,,7,Richter,35.448,133.993,17:37,,1943,9,10,1943,9,10,1400,,,23217,23217,,,,,,,5.92609557,,,,
1944-0026-JPN,1944,0026,,Natural,Geophysical,Earthquake,Tsunami,,,Japan,JPN,Eastern Asia,Asia,"Tonankai, Hondo",,Tsunami/Tidal wave,,,,,,8,Richter,33.682,36.204,13:35,,1944,12,7,1944,12,7,1223,2135,,78438,80573,,,,,,,6.028662609,,,,
1945-0015-JPN,1945,0015,,Natural,Geophysical,Earthquake,Ground movement,,,Japan,JPN,Eastern Asia,Asia,"Mikawa (Near Nagoya, Honshu Isl.)",,Tsunami/Tidal wave,,,,,,7,Richter,34.612,137.064,03:38,,1945,1,13,1945,1,13,2306,896,,21663,22559,,,,,,,6.165418661,,,,
1946-0015-JPN,1946,0015,,Natural,Geophysical,Earthquake,Ground movement,,,Japan,JPN,Eastern Asia,Asia,"Nankaido, Tonankai (Honshu Isl.)",,Tsunami/Tidal wave,,,,,,8,Richter,33.116,135.895,04:19,,1946,12,21,1946,12,21,2000,,,,,,,,,,,6.678253854,,,,
1948-0005-JPN,1948,0005,,Natural,Geophysical,Earthquake,Ground movement,,,Japan,JPN,Eastern Asia,Asia,Fukui,,,,,,,,7,Richter,36.5,136,16:13,,1948,6,28,1948,6,28,5131,11000,,315000,326000,,,,,1000000,12153392,8.228155773,,,,
1952-0022-JPN,1952,0022,,Natural,Geophysical,Earthquake,Ground movement,,,Japan,JPN,Eastern Asia,Asia,Hokkaido Isl.,,Tsunami/Tidal wave,,,,,,8,Richter,42.084,143.899,10:22,,1952,3,4,1952,3,4,33,200,,,200,,,,,,,9.094277433,,,,
1960-0016-JPN,1960,0016,,Natural,Geophysical,Earthquake,Tsunami,,,Japan,JPN,Eastern Asia,Asia,"Onagawa, Honshu Island",,Tsunami/Tidal wave,,,No,No,,,Richter,,,,,1960,5,22,1960,5,22,138,,,,,,,,,140000,1385348,10.10576299,,,,
1964-0036-JPN,1964,0036,,Natural,Geophysical,Earthquake,Tsunami,,,Japan,JPN,Eastern Asia,Asia,"Niigata, Hodo Isl.",,Tsunami/Tidal wave,,,,,,7,Richter,38.67,139.195,13:01,,1964,6,16,1964,6,16,25,376,35000,,35376,,,5000,47177,800000,7548326,10.59837602,,,,
1968-0050-JPN,1968,0050,,Natural,Geophysical,Earthquake,Ground movement,,,Japan,JPN,Eastern Asia,Asia,Aomori Prefecture - Hokkaido,,Tsunami/Tidal wave,,,,,,7,Richter,40.5,140.43,,,1968,5,17,1968,5,17,47,281,2500,,2781,,,,,131000,1102188,11.88544651,,,,
1974-0026-JPN,1974,0026,,Natural,Geophysical,Earthquake,Ground movement,,,Japan,JPN,Eastern Asia,Asia,"Izu-Hanto, Nakagi",,Tsunami/Tidal wave,,,,,,7,Richter,34.522,138.74,08:33,,1974,5,9,1974,5,9,30,73,,,73,,,,,,,16.84862911,,,,
1978-0027-JPN,1978,0027,,Natural,Geophysical,Earthquake,Ground movement,,,Japan,JPN,Eastern Asia,Asia,"Oshima, Yokohama, Tokkaido",,Tsunami/Tidal wave,,,,,,7,Richter,34.809,139.259,12:24,,1978,1,14,1978,1,14,25,129,1632,255,2016,,,,,,,22.29019504,,,,
1978-0080-JPN,1978,0080,,Natural,Geophysical,Earthquake,Ground movement,,,Japan,JPN,Eastern Asia,Asia,Sendai (Near Esat coast of Honshu),,,,,,,,8,Richter,38.19,142.028,17:14,,1978,6,12,1978,6,12,28,500,2000,,2500,,,2000,8973,865000,3880630,22.29019504,,,,
1980-0092-JPN,1980,0092,,Natural,Geophysical,Earthquake,Ground movement,,,Japan,JPN,Eastern Asia,Asia,"Tokyo, Kanto region",,,,,,,,6,Richter,35.45,139.964,02:54,,1980,9,25,1980,9,25,2,73,,,73,,,,,1000,3551,28.15888663,,,,
1982-0036-JPN,1982,0036,,Natural,Geophysical,Earthquake,Ground movement,,,Japan,JPN,Eastern Asia,Asia,"Hokkaido, Urakawa, Hiroo",,Tsunami/Tidal wave,,,,,,7,Richter,42.158,142.361,11:32,,1982,3,21,1982,3,21,110,100,1000,,1100,,,,,1000,3033,32.97399781,,,,
1983-0437-JPN,1983,0437,,Natural,Geophysical,Earthquake,Ground movement,,,Japan,JPN,Eastern Asia,Asia,Near South coast Honshu,,"Slide (land, mud, snow, rock)",,,,,,5,Richter,35.5,139.07,12:47,,1983,8,8,1983,8,8,1,28,,,28,,,,,,,34.03326363,,,,
1983-0081-JPN,1983,0081,,Natural,Geophysical,Earthquake,Tsunami,,,Japan,JPN,Eastern Asia,Asia,"Nihon- Kai-Chubu, Western Honshu, Akita, Aomori, Hokkaido",,Tsunami/Tidal wave,,,,,,8,Richter,40.462,139.102,11:59,,1983,5,26,1983,5,26,102,77,,,77,,,,,416000,1222334,34.03326363,,,,
1984-0084-JPN,1984,0084,,Natural,Geophysical,Earthquake,Ground movement,,,Japan,JPN,Eastern Asia,Asia,"Honshu, Nagano prefecture (Honshu)",,"Slide (land, mud, snow, rock)",,,No,No,,7,Richter,36.39 N,138.10 E,,,1984,9,14,1984,9,14,20,,,,,,,,,43000,121137,35.49688113,,,,
1984-0335-JPN,1984,0335,,Natural,Geophysical,Earthquake,Ground movement,,,Japan,JPN,Eastern Asia,Asia,Kyushu (Shikoku Island),,Tsunami/Tidal wave,,,No,No,,7,Richter,32.50 N,130.42 E,,,1984,8,6,1984,8,6,,9,,,9,,,,,,,35.49688113,,,,
1987-0229-JPN,1987,0229,,Natural,Geophysical,Earthquake,Ground movement,,,Japan,JPN,Eastern Asia,Asia,Chiba prefecture (Near Tokyo),,,,,,,,6,Richter,35.38,140.214,11:08,,1987,12,17,1987,12,17,2,53,22599,,22652,,,,,,,38.82560081,,,,
1992-0252-JPN,1992,0252,,Natural,Geophysical,Earthquake,Ground movement,,,Japan,JPN,Eastern Asia,Asia,Kanto area (Tokyo),,,,,No,No,,6,Richter,35.106 N,139.644 E,,,1992,2,2,1992,2,2,,32,,,32,,,,,,,47.94612964,,,,
1993-0044-JPN,1993,0044,,Natural,Geophysical,Earthquake,Tsunami,,Tsunami,Japan,JPN,Eastern Asia,Asia,Okushiri Island (Hokkaido),,Fire,Tsunami/Tidal wave,,No,No,,8,Richter,42.851 N,139.197 E,,,1993,7,12,1993,7,12,239,233,5502,1620,7355,,,16000,32414,1000000,2025877,49.36133216,,,,
1993-0097-JPN,1993,0097,,Natural,Geophysical,Earthquake,Ground movement,,,Japan,JPN,Eastern Asia,Asia,Near Kushiro (Hokkaido),,"Slide (land, mud, snow, rock)",,,No,No,,8,Richter,43.300 N,143.691 E,,,1993,1,15,1993,1,15,2,722,9800,,10522,,,,,358000,725264,49.36133216,,,,
1994-0343-JPN,1994,0343,,Natural,Geophysical,Earthquake,Ground movement,,,Japan,JPN,Eastern Asia,Asia,East coast of Hokaido Isl.,,Tsunami/Tidal wave,,,No,No,,8,Richter,45.10 N,147.51 E,,,1994,10,4,1994,10,4,5,1500,,,1500,,,11700,23100,,,50.64840266,,,,
1994-0316-JPN,1994,0316,,Natural,Geophysical,Earthquake,Ground movement,,,Japan,JPN,Eastern Asia,Asia,Hachinohe (North-East Honshu),,,,,No,No,,8,Richter,40.5 N,143.4 E,,,1994,12,28,1994,12,28,2,285,,,285,,,,,170400,336437,50.64840266,,,,
1995-0016-JPN,1995,0016,,Natural,Geophysical,Earthquake,Ground movement,,,Japan,JPN,Eastern Asia,Asia,"Kobe, Osaka, Hyigo, Kyoto prefecture",,Fire,,,No,No,13557,7,Richter,34.58 N,135.0 E,05:46,,1995,1,17,1995,1,17,5297,34492,255843,251301,541636,,,3000000,5761553,100000000,192051751,52.06929869,,,,
1995-0449-JPN,1995,0449,,Natural,Geophysical,Earthquake,Ground movement,,,Japan,JPN,Eastern Asia,Asia,Niigata (Eastern Honshu),,,,,No,No,,5,Richter,37.925 N,139.186 E,,,1995,4,1,1995,4,1,,39,1512,,1551,,,,,,,52.06929869,,,,
2000-0656-JPN,2000,0656,,Natural,Geophysical,Earthquake,Ground movement,,,Japan,JPN,Eastern Asia,Asia,"Aimityoo, Kisimototyoo, Mizokutityoo, Saihakutyoo, Daisentyoo, Nawatyoo, Nakayamatyoo, Hieduson districts (Tottori province), Simane, Okayama provinces",,"Slide (land, mud, snow, rock)",,,,,,7,Richter,35.456,133.134,13:35,,2000,10,6,2000,10,6,,130,6690,312,7132,,,150000,254926,500000,849753,58.84064849,1;2,1680;1686,36345;36349;36352;36360;36366;36368;36369;36371,"Okayama, Simane (Adm1). Aimityoo, Daisentyoo, Hieduson, Kisimototyoo, Mizokutityoo, Nakayamatyoo, Nawatyoo, Saihakutyoo (Adm2)."
2000-0428-JPN,2000,0428,,Natural,Geophysical,Earthquake,Ground movement,,,Japan,JPN,Eastern Asia,Asia,"Koodusimamura, Niizimamura districts (Tookyoo province)",,,,,,,,6,Richter,34.221,139.131,16:02,,2000,7,1,2000,7,1,1,,100,,100,,,,,,,58.84064849,2,,36308;36323,"Koodusimamura, Niizimamura (Adm2)."
2001-0123-JPN,2001,0123,,Natural,Geophysical,Earthquake,Ground movement,,,Japan,JPN,Eastern Asia,Asia,"Hirosima, Ehime provinces",,,,,,,,7,Richter,34.083,132.526,15:28,,2001,3,24,2001,3,24,2,161,11100,,11261,,,128000,211558,500000,826397,60.50357889,1,1654;1660,,"Ehime, Hirosima (Adm1)."
2003-0249-JPN,2003,0249,,Natural,Geophysical,Earthquake,Ground movement,,,Japan,JPN,Eastern Asia,Asia,"Iwate, Miyagi, Yamagata, Akita, Aomori provinces",,Fire,"Slide (land, mud, snow, rock)",,,,,7,Richter,38.849,141.568,18:24,,2003,5,26,2003,5,26,,143,2160,,2303,,,87000,138406,233000,370674,62.8584595,1,1652;1653;1665;1673;1695,,"Akita, Aomori, Iwate, Miyagi, Yamagata (Adm1)."
2003-0476-JPN,2003,0476,,Natural,Geophysical,Earthquake,Ground movement,,,Japan,JPN,Eastern Asia,Asia,Hokkaidoo province,,Fire,Tsunami/Tidal wave,,,,,7,Richter,41.774,143.593,04:50,,2003,9,25,2003,9,25,2,773,,,773,,,87000,138406,563000,895663,62.8584595,1,1661,,Hokkaidoo (Adm1).
2003-0354-JPN,2003,0354,,Natural,Geophysical,Earthquake,Ground movement,,,Japan,JPN,Eastern Asia,Asia,"Sendaisi_Aobaku, Sendaisi_Daisiroku, Sendaisi_Izumiku, Sendaisi_Miyaginoku, Sendaisi_Wakabayasiku, Isinomakisi, Hurukawasi, Kasimadaimati, Nangootyoon, Narusetyoo, Yamototyoo, Yoneyamatyoo districts (Miyagi province)",,"Slide (land, mud, snow, rock)",,,,,,6,Richter,38.432,141.003,07:13,,2003,7,25,2003,7,25,,569,17403,219,18191,,,202000,321357,411000,653850,62.8584595,2,,35135;35137;35146;35162;35164;35176;35177;35178;35179;35180;35205;35206,"Hurukawasi, Isinomakisi, Kasimadaimati, Nangootyoo, Narusetyoo, Sendaisi_Aobaku, Sendaisi_Daisiroku, Sendaisi_Izumiku, Sendaisi_Miyaginoku, Sendaisi_Wakabayasiku, Yamototyoo, Yoneyamatyoo (Adm2)."
2004-0532-JPN,2004,0532,,Natural,Geophysical,Earthquake,Ground movement,,,Japan,JPN,Eastern Asia,Asia,"Odiyasi, Nagaokasi, Tookamatisi districts (Niigata province)",,Fire,"Slide (land, mud, snow, rock)",Yes,,,49,7,Richter,37.226,138.779,17:56,,2004,10,23,2004,10,23,40,3183,59000,,62183,,,760000,1177540,28000000,43383054,64.54132928,1;2,1690,35546;35558;35583,"Tookyoo (Adm1). Nagaokasi, Odiyasi, Tookamatisi (Adm2)."
2005-0129-JPN,2005,0129,,Natural,Geophysical,Earthquake,Ground movement,,,Japan,JPN,Eastern Asia,Asia,Hukuoka province,,"Slide (land, mud, snow, rock)",,,,,,7,Richter,33.807,130.131,10:53,,2005,3,20,2005,3,20,1,735,2800,,3535,,,120000,179826,400000,599421,66.73105799,1,1656,,Hukuoka (Adm1).
2005-0211-JPN,2005,0211,,Natural,Geophysical,Earthquake,Ground movement,,,Japan,JPN,Eastern Asia,Asia,"Hukuoka, Saga provinces",,"Slide (land, mud, snow, rock)",,,,,,6,Richter,33.637,130.179,,,2005,4,19,2005,4,19,,58,837,,895,,,,,,,66.73105799,1,1656;1683,,"Hukuoka, Saga (Adm1)."
2007-0101-JPN,2007,0101,EQ-2007-000039,Natural,Geophysical,Earthquake,Ground movement,,,Japan,JPN,Eastern Asia,Asia,"Nanao, Wajima districts (Isikawa province), Niigata, Toyama provinces",,Tsunami/Tidal wave,"Slide (land, mud, snow, rock)",,,,,7,Richter,37.336,136.588,09:42,,2007,3,25,2007,3,25,1,359,,40668,41027,,,22000,31052,250000,352864,70.8487927,1;2,1678;1692,34580;34605,"Niigata, Toyama (Adm1). Nanaosi, Wazimasi (Adm2)."
2007-0258-JPN,2007,0258,EQ-2007-000102,Natural,Geophysical,Earthquake,Ground movement,,,Japan,JPN,Eastern Asia,Asia,"Aikawamati, Akadomarimura, Hatanomati, Izumozakimati, Kanaimati, Kariwamura, Kasiwazakisi, Manomati, Nagaokasi, Niigatasi, Odiyasi, Ogimati, Sanzyoosi, Sawatamati, Yosidamati, Zyooetusi districts (Niigata province), Nagano, Toyama provinces",,Tsunami/Tidal wave,Fire,Yes,,,,7,Richter,37.535,138.446,10:13,,2007,7,16,2007,7,16,9,1000,13000,,14000,,,335000,472838,12500000,17643208,70.8487927,1;2,1675;1692,35494;35495;35503;35510;35516;35518;35519;35534;35546;35553;35558;35559;35568;35570;35600;35604,"Nagano, Toyama (Adm1). Aikawamati, Akadomarimura, Hatanomati, Izumozakimati, Kanaimati, Kariwamura, Kasiwazakisi, Manomati, Nagaokasi, Niigatasi, Odiyasi, Ogimati, Sanzyoosi, Sawatamati, Yosidamati, Zyooetusi (Adm2)."
2007-0654-JPN,2007,0654,,Natural,Geophysical,Earthquake,Ground movement,,,Japan,JPN,Eastern Asia,Asia,"Mie, Nara, Siga provinces",,,,,,,,5,Richter,34.807,136.239,,,2007,4,15,2007,4,15,,12,189,,201,,,,,,,70.8487927,1,1672;1677;1685,,"Mie, Nara, Siga (Adm1)."
