Year,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subsubtype,Location,Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,Start Year,Start Month,Start Day,Total Deaths,No Injured,No Homeless,Total Affected,"Total Damages, Adjusted ('000 US$)"
1901,Natural,Geophysical,Earthquake,,Sanriku,8,Richter,40.5,142.5,03:33,1901,8,10,18,0,24,42,
1914,Natural,Geophysical,Earthquake,,Akita Senboku,7,Richter,39.2,139.8,05:00,1914,3,16,94,324,1920,2338,
1923,Natural,Geophysical,Earthquake,,"Kanto plaine (Yokohama,Tokyo)",8,Richter,35.413,139.298,11:58,1923,9,1,143000,103733,,246733,10282909
1927,Natural,Geophysical,Earthquake,,"Tango, Honshu",7,Richter,35.632,135.013,18:27,1927,3,7,3022,3295,46782,53099,672395
1930,Natural,Geophysical,Earthquake,,Idu (Honshu),7,Richter,35.05,139.129,04:02,1930,11,26,259,1825,24297,26381,
1943,Natural,Geophysical,Earthquake,,Tottori (Honshu Isl.),7,Richter,35.448,133.993,17:37,1943,9,10,1400,,23217,24617,
1944,Natural,Geophysical,Earthquake,,"Tonankai, Hondo",8,Richter,33.682,36.204,13:35,1944,12,7,1223,2135,78438,81796,
1945,Natural,Geophysical,Earthquake,,"Mikawa (Near Nagoya, Honshu Isl.)",7,Richter,34.612,137.064,03:38,1945,1,13,2306,896,21663,24865,
1948,Natural,Geophysical,Earthquake,,Fukui,7,Richter,36.5,136,16:13,1948,6,28,5131,11000,315000,331131,12153392
1952,Natural,Geophysical,Earthquake,,Hokkaido Isl.,8,Richter,42.084,143.899,10:22,1952,3,4,33,200,,233,
1964,Natural,Geophysical,Earthquake,,"Niigata, Hodo Isl.",7,Richter,38.67,139.195,13:01,1964,6,16,25,376,,401,7548326
1968,Natural,Geophysical,Earthquake,,Aomori Prefecture - Hokkaido,7,Richter,40.5,140.43,,1968,5,17,47,281,,328,1102188
1974,Natural,Geophysical,Earthquake,,"Izu-Hanto, Nakagi",7,Richter,34.522,138.74,08:33,1974,5,9,30,73,,103,
1978,Natural,Geophysical,Earthquake,,"Oshima, Yokohama, Tokkaido",7,Richter,34.809,139.259,12:24,1978,1,14,25,129,255,409,
1978,Natural,Geophysical,Earthquake,,Sendai (Near Esat coast of Honshu),8,Richter,38.19,142.028,17:14,1978,6,12,28,500,,528,3880630
1980,Natural,Geophysical,Earthquake,,"Tokyo, Kanto region",6,Richter,35.45,139.964,02:54,1980,9,25,2,73,,75,3551
1982,Natural,Geophysical,Earthquake,,"Hokkaido, Urakawa, Hiroo",7,Richter,42.158,142.361,11:32,1982,3,21,110,100,,210,3033
1983,Natural,Geophysical,Earthquake,,Near South coast Honshu,5,Richter,35.5,139.07,12:47,1983,8,8,1,28,,29,
1983,Natural,Geophysical,Earthquake,,"Nihon- Kai-Chubu, Western Honshu, Akita, Aomori, Hokkaido",8,Richter,40.462,139.102,11:59,1983,5,26,102,77,,179,1222334
1984,Natural,Geophysical,Earthquake,,Kyushu (Shikoku Island),7,Richter,32.50 N,130.42 E,,1984,8,6,0,9,204000,204009,
1987,Natural,Geophysical,Earthquake,,Chiba prefecture (Near Tokyo),6,Richter,35.38,140.214,11:08,1987,12,17,2,53,,55,
1992,Natural,Geophysical,Earthquake,,Kanto area (Tokyo),6,Richter,35.106 N,139.644 E,,1992,2,2,0,32,0,32,
1993,Natural,Geophysical,Earthquake,,Okushiri Island (Hokkaido),8,Richter,42.851 N,139.197 E,,1993,7,12,239,233,1620,2092,2025877
1993,Natural,Geophysical,Earthquake,,Near Kushiro (Hokkaido),8,Richter,43.300 N,143.691 E,,1993,1,15,2,722,,724,725264
1994,Natural,Geophysical,Earthquake,,East coast of Hokaido Isl.,8,Richter,45.10 N,147.51 E,,1994,10,4,5,1500,,1505,
1994,Natural,Geophysical,Earthquake,,Hachinohe (North-East Honshu),8,Richter,40.5 N,143.4 E,,1994,12,28,2,285,,287,336437
1995,Natural,Geophysical,Earthquake,,"Kobe, Osaka, Hyigo, Kyoto prefecture",7,Richter,34.58 N,135.0 E,05:46,1995,1,17,5297,34492,251301,291090,192051751
1995,Natural,Geophysical,Earthquake,,Niigata (Eastern Honshu),5,Richter,37.925 N,139.186 E,,1995,4,1,39,39,,78,
2000,Natural,Geophysical,Earthquake,,"Aimityoo, Kisimototyoo, Mizokutityoo, Saihakutyoo, Daisentyoo, Nawatyoo, Nakayamatyoo, Hieduson districts (Tottori province), Simane, Okayama provinces",7,Richter,35.456,133.134,13:35,2000,10,6,0,130,312,442,849753
2001,Natural,Geophysical,Earthquake,,"Hirosima, Ehime provinces",7,Richter,34.083,132.526,15:28,2001,3,24,2,161,,163,826397
