Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1903-0007-TUR,1903,7,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,Malazgirt,,,,,,,,6,Richter,39.09,42.3,02:46,,1903,4,29,1903,4,29,3560,,60000,,60000,,,,,,,3.077011162,,,,
1912-0006-TUR,1912,6,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,"Murefte Sarkoy, marmara sea",,Tsunami/Tidal wave,,,,,,8,Richter,40.41,27.15,04:29,,1912,8,9,1912,8,9,923,1575,,16620,18195,,,,,,,3.304937914,,,,
1928-0005-TUR,1928,5,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,Torbah-Izmir,,,,,,,,,Richter,38.25 N,27.10 E,,,1928,3,30,1928,3,30,50,209,,,209,,,,,,,5.88051022,,,,
1938-0002-TUR,1938,2,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,Kirsehir,,,,,,,,7,Richter,39.508,33.872,13:59,,1938,4,19,1938,4,19,149,800,,,800,,,,,,,4.82065082,,,,
1939-0010-TUR,1939,10,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,Erzincan (Anatolia),,Tsunami/Tidal wave,,,,,,8,Richter,39.771,39.57,02:57,,1939,12,27,1939,12,27,32962,,585000,,585000,,,,,20000,419844,4.763669132,,,,
1939-0008-TUR,1939,8,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,"Erzican, Tercan region",,,,,,,,6,Richter,39.7,10.4,11:43,,1939,11,21,1939,11,21,13,,,,,,,,,,,4.763669132,,,,
1939-0023-TUR,1939,23,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,Dikili,,,,,,,,6,Richter,39.209,27.164,03:36,,1939,9,22,1939,9,22,60,68,,,68,,,,,,,4.763669132,,,,
1940-0007-TUR,1940,7,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,"Develi-Erciyes, Kayseri",,,,,,,,,Richter,38.4,35.5,,,1940,2,20,1940,2,20,37,,,,,,,,,,,4.797858145,,,,
1942-0011-TUR,1942,11,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,"Niksar, Erbaa",,,,,,,,7,Richter,40.87,36.732,17:03,,1942,12,20,1942,12,20,3000,,,,,,,,,,,5.595601779,,,,
1943-0014-TUR,1943,14,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,"Ladik, Samsun, Havza",,,,,,,,8,Richter,40.916,33.562,01:20,,1943,11,27,1943,11,27,4020,5000,,,5000,,,,,40000,674981,5.92609557,,,,
1944-0003-TUR,1944,3,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,Gerede (West Anatolia),,,,,,,,8,Richter,40.696,32.992,06:22,,1944,2,1,1944,2,1,3959,,,,,,,,,,,6.028662609,,,,
1944-0010-TUR,1944,10,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,Ayvalik Edremit,,,,,,,,7,Richter,39.502,26.596,05:34,,1944,10,6,1944,10,6,27,,,,,,,,,,,6.028662609,,,,
1946-0012-TUR,1946,12,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,"Varto-Hinis, Ustukran (Eastern Turkey)",,,,,,,,6,Richter,39.3,41.2,06:12,,1946,5,31,1946,5,31,840,,,,,,,,,,,6.678253854,,,,
1949-0019-TUR,1949,19,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,Karliova (Anatolia),,,,,,,,7,Richter,39,40.5,21:43,,1949,8,17,1949,8,17,320,355,,,355,,,,,,,8.148381409,,,,
1951-0015-TUR,1951,15,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,Kursunlu-Ilgaz,,,,,,,,7,Richter,40.8,33.4,21:33,,1951,8,13,1951,8,13,54,150,,,150,,,,,,,8.889143356,,,,
1952-0009-TUR,1952,9,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,"Adana-Misis, Ceyhan",,,,,,,,5,Richter,36.5,35.5,,,1952,10,22,1952,10,22,20,,,,,,,,,,,9.094277433,,,,
1952-0014-TUR,1952,14,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,Hasankale (Erzurum province),,,,,,,,6,Richter,39.9,41.7,08:03,,1952,1,3,1952,1,3,103,250,,,250,,,,,,,9.094277433,,,,
1953-0010-TUR,1953,10,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,"Canakkale, Balikesir, Yenice, Onon",,,,,,,,7,Richter,40.175,27.648,22:06,,1953,3,18,1953,3,18,1200,,50000,,50000,,,,,3570,38963,9.162655459,,,,
1957-0016-TUR,1957,16,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,Abant (Bolu province),,,,,,,,7,Richter,40.7,30.9,09:33,,1957,5,26,1957,5,26,53,119,,,119,,,,,,,9.598904063,,,,
1964-0059-TUR,1964,59,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,"Manyas, Bursa, Balikesir provinces (West)",,,,Yes,,,,7,Richter,40.203,28.206,17:31,,1964,10,6,1964,10,6,23,100,13000,,13100,,,,,5000,47177,10.59837602,,,,
1966-0058-TUR,1966,58,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,Mus province,,,,,,,,,Richter,38.5,41.3,,,1966,7,3,1966,7,3,14,,,,,,,,,,,11.09099715,,,,
1966-0062-TUR,1966,62,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,Varto,,,,Yes,,,,7,Richter,39.235,41.572,15:22,,1966,8,19,1966,8,19,2394,1500,108000,,109500,,,,,20000,180326,11.09099715,,,,
1967-0047-TUR,1967,47,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,"(1) West Turkey - (2) East Turkey - (3) West Turkey; Mudurnu, Adapazari",,,,Yes,,,,7,Richter,40.751,30.8,19:57,,1967,7,22,1967,7,22,183,360,238713,87000,326073,,,,,3000,26319,11.39852698,,,,
