Year,Disaster Group,Disaster Subgroup,Disaster Type,Location,Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Start Year,Start Month,Start Day,Total Deaths,No Injured,No Homeless,Total Affected,"Total Damages, Adjusted ('000 US$)"
1912,Natural,Geophysical,Earthquake,"Murefte Sarkoy, marmara sea",8.0,Richter,40.41,27.15,1912,8,9,923.0,1575.0,16620.0,19118.0,2696062.0
1914,Natural,Geophysical,Earthquake,"Burdur, Kilinc, Keciborlu, Isparta",7.0,Richter,37.82,30.27,1914,10,4,4000.0,700.0,51000.0,55700.0,2696062.0
1924,Natural,Geophysical,Earthquake,Erzurum,7.0,Richter,39.897,41.891,1924,9,13,60.0,158.0,1140.0,1358.0,2696062.0
1925,Natural,Geophysical,Earthquake,Dinar,6.0,Richter,38,30.5,1925,8,7,3.0,158.0,6129.0,6290.0,392980.0
1938,Natural,Geophysical,Earthquake,Kirsehir,7.0,Richter,39.508,33.872,1938,4,19,149.0,800.0,33810.0,34759.0,2696062.0
1939,Natural,Geophysical,Earthquake,Dikili,6.0,Richter,39.209,27.164,1939,9,22,60.0,68.0,33810.0,33938.0,392980.0
1943,Natural,Geophysical,Earthquake,"Ladik, Samsun, Havza",8.0,Richter,40.916,33.562,1943,11,27,4020.0,5000.0,33810.0,42830.0,674981.0
1949,Natural,Geophysical,Earthquake,Karliova (Anatolia),7.0,Richter,39,40.5,1949,8,17,320.0,355.0,33810.0,34485.0,2696062.0
1951,Natural,Geophysical,Earthquake,Kursunlu-Ilgaz,7.0,Richter,40.8,33.4,1951,8,13,54.0,150.0,33810.0,34014.0,2696062.0
1952,Natural,Geophysical,Earthquake,Hasankale (Erzurum province),6.0,Richter,39.9,41.7,1952,1,3,103.0,250.0,33810.0,34163.0,392980.0
1957,Natural,Geophysical,Earthquake,Abant (Bolu province),7.0,Richter,40.7,30.9,1957,5,26,53.0,119.0,33810.0,33982.0,2696062.0
1964,Natural,Geophysical,Earthquake,"Manyas, Bursa, Balikesir provinces (West)",7.0,Richter,40.203,28.206,1964,10,6,23.0,100.0,33810.0,33933.0,47177.0
1966,Natural,Geophysical,Earthquake,Varto,7.0,Richter,39.235,41.572,1966,8,19,2394.0,1500.0,33810.0,37704.0,180326.0
1966,Natural,Geophysical,Earthquake,,5.0,Richter,38.9,41.3,1966,7,12,12.0,20.0,33810.0,33842.0,392980.0
1967,Natural,Geophysical,Earthquake,"(1) West Turkey - (2) East Turkey - (3) West Turkey; Mudurnu, Adapazari",7.0,Richter,40.751,30.8,1967,7,22,183.0,360.0,87000.0,87543.0,26319.0
1968,Natural,Geophysical,Earthquake,"Bartin, Amasra, Cakraz (North Anatolia)",7.0,Richter,41.86,32.463,1968,9,3,24.0,200.0,10000.0,10224.0,2696062.0
1969,Natural,Geophysical,Earthquake,"West Alasehir, Sarigol, Kirz",7.0,Richter,38.515,28.546,1969,3,28,53.0,350.0,33810.0,34213.0,2696062.0
1970,Natural,Geophysical,Earthquake,"Demirci, Manisa",6.0,Richter,39.1,28.7,1970,4,23,28.0,43.0,33810.0,33881.0,392980.0
1970,Natural,Geophysical,Earthquake,Gediz,7.0,Richter,39.098,29.57,1970,3,28,1086.0,2776.0,33810.0,37672.0,419101.0
1971,Natural,Geophysical,Earthquake,"Bingol, Erzincan",7.0,Richter,38.934,40.653,1971,5,22,878.0,1200.0,27465.0,29543.0,36138.0
1975,Natural,Geophysical,Earthquake,"Hazro, Hani, Kulp,Lice",7.0,Richter,38.474,40.723,1975,9,6,2385.0,3372.0,33810.0,39567.0,92446.0
1976,Natural,Geophysical,Earthquake,Muradiye,7.0,Richter,39.121,44.029,1976,11,24,3840.0,15000.0,51000.0,69840.0,128564.0
1976,Natural,Geophysical,Earthquake,,5.0,Richter,41.13,43.01,1976,3,25,2.0,6.0,33810.0,33818.0,392980.0
1976,Natural,Geophysical,Earthquake,Denizli,5.0,Richter,37.7,28.89,1976,8,19,4.0,50.0,9000.0,9054.0,392980.0
1978,Natural,Geophysical,Earthquake,"Pulumur, Erzincan",5.0,Richter,36.69,39.79,1978,2,15,28.0,20.0,2500.0,2548.0,392980.0
